### TP FILE - COLORADO/WY/NM/IA
# Name          ID      LAT		LONG		MSL	RWAY	RADIO   ATTR
 ReidRes     	7CO6	40,07.00,N	104,19.03,W	4820	17/35	_	AV 
 Reisig      	12NE	41,54.40,N	103,41.98,W	3985	17/35	_	TA 
 Rifle       	ril	39,31.50,N	107,43.30,W	5548	_	_	T 
 RiverSid    	rvr	40,19.50,N	104,14.00,W	4565	_	_	T 
 Robbins     	WY16	42,15.60,N	105,51.53,W	7240	06/24	_	AV 
 RockRive    	rkr	41,44.30,N	105,58.30,W	6000	_	_	T 
 Rosebud     	NM29	35,50.05,N	103,26.20,W	4820	02/20	_	AV 
 Runner      	0NE1	42,24.43,N	101,55.90,W	3760	08/26	_	AV 
 Rushmore    	rsm	43,52.50,N	103,28.00,W	7242	-	_	T 
 Salida      	0V2	38,32.30,N	106,02.83,W	7490	06/24	122.7	TA 
 SaltlakeC     	SLC	40,47.00,N	111,57.00,W	4226	16/34	119.05	TA 
 Saguache    	04V	38,05.83,N	106,10.12,W	7825	10/28	122.9	TA 
 SanJuanP    	Q14	36,01.75,N	106,02.50,W	5791	06/24	122.9	TA 
 SanMigue    	NM53	35,30.60,N	104,35.03,W	6300	03/21	_	AV 
 SanchezR    	33CO	37,05.00,N	105,27.50,W	8700	03/21	_	TA 
 SandDune    	sand	37,41.25,N	105,33.53,W	7999	_	_	TA 
 SandiaEa    	NM51	35,05.67,N	106,10.03,W	6699	09/27	_	TA 
 Sanford     	_	37,15.00,N	105,55.75,W	7600	_	_	TA 
 SanFranc    	_	38,15.00,N	123,55.75,W	600	_	_	TA 
 SantaFe     	SAF	35,37.00,N	106,05.3,W	6345	02/20	119.5	TA 
 Saratoga    	SAA	41,28.00,N	106,50.00,W	6988	05/23	122.8	TA 
 Satanta     	1K9	37,27.25,N	100,59.53,W	2976	03/21	_	AV 
 SantaBar    	sba	34,25.57,N	119,50.42,W	10	15/33	_	AV 
 SBaldMtn    	sbm	40,45.50,N	105,43.00,W	11003	_	_	T 
 Schawo      	8CO2	40,40.25,N	104,12.50,W	4950	14/32	_	TA 
 Scherler    	9CO5	38,34.60,N	102,26.23,W	4126	17/35	_	TAP 
 Searle      	OGA	41,07.18,N	101,46.13,W	3278	08/26	122.8	TA 
 Seng        	16KS	37,56.50,N	100,46.75,W	2850	01/19	_	AV 
 Shelburn    	58V	41,03.00,N	101,48.28,W	3475	17/35	_	TA 
 ShipRock    	5V5	36,41.87,N	108,42.07,W	5270	02/20	122.9	TA 
 ShipmanR    	5CO1	38,50.00,N	107,51.53,W	6200	02/20	_	TA 
 Shore       	32K	37,25.33,N	101,38.87,W	3242	18/36	_	AV 
 Sidney      	SNY	41,06.00,N	102,59.00,W	4311	02/20	122.8	TA 
 Silkman     	10CO	39,27.28,N	102,12.78,W	4000	17/35	_	TA 
 SilverCl    	_	38,07.59,N	105,26.75,W	8300	_	_	TA 
 SilverWest    	4CO3	38,00.52,N	105,22.20,W	8291	13/31	122.9	TA 
 Simons      	34CO	39,42.98,N	104,43.95,W	5525	_	_	AV 
 Singleto    	68CO	39,52.33,N	104,09.20,W	4940	08/26	_	AV 
 SkyHaven    	CO17	39,42.82,N	104,11.63,W	5215	08/26	_	AV 
 SkyIslan    	3CO0	38,44.25,N	108,00.35,W	5300	04/22	_	TA 
 Skyote      	CD02	40,45.48,N	106,58.32,W	8200	18/36	_	TAV 
 Skyview     	WY05	41,13.03,N	104,35.03,W	5838	08/26	_	TA 
 Sloan       	WY45	41,09.42,N	104,42.50,W	6085	07/25	_	TA 
 SmithFie    	8NE3	40,28.92,N	101,48.78,W	3380	_	_	TA 
 SouthPKP    	_	39,09.43,N	105,43.73,W	9500	_	_	TAP 
 SpanishP    	4V1	37,41.78,N	104,47.03,W	6050	03/21	122.8	TA 
 Spearfis    	spf	44,28.81,N	103,46.61,W	3931	08/26	122.8	TA 
 Spearman    	E42	36,13.18,N	101,11.72,W	3088	02/20	_	TA 
 SpringLa    	2NE4	42,27.00,N	102,08.03,W	3815	08/26	_	AV 
 Springer    	Q42	36,20.30,N	104,37.90,W	5891	01/19	122.9	TA 
 Springfi    	8V7	37,27.78,N	102,37.13,W	4386	17/35	122.9	TA 
 Stansfie    	26V	40,10.92,N	102,55.33,W	4305	08/26	_	TA 
 StantonC    	2K3	37,34.97,N	101,43.97,W	3324	08/26	_	TA 
 Steamboa    	SBS	40,31.62,N	106,52.30,W	6877	14/32	122.8	TA 
 Sterling    	STK	40,37.00,N	103,16.00,W	4035	03/21	122.8	TA 
 Stevens     	2V1	37,16.65,N	107,03.35,W	7700	01/19	122.8	TA 
 StinkW      	NE73	40,43.40,N	101,27.45,W	3165	17/35	_	TAV 
 Stratfor    	Q70	36,20.75,N	102,02.85,W	3667	04/22	_	TA 
